Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
518.00,5.35,1.66,15.0,141.0
518.02,12.42,-0.20,13.1,25.0
518.03,10.65,1.51,68.6,67.0
519.00,6.83,0.66,40.9,106.0
520.00,5.82,0.97,135.7,18.0
520.00,5.82,0.98,135.7,18.0
521.00,4.86,0.87,0.9,81.0
522.00,8.80,1.38,86.0,106.0
524.00,5.30,1.55,7.1,141.0
525.00,6.50,0.41,19.0,42.0
526.00,5.68,0.49,32.8,73.0
526.10,8.10,0.95,39.7,117.0
527.00,11.98,0.55,42.6,150.0
527.01,15.16,1.67,40.2,43.0
528.00,7.37,0.59,44.1,105.0
529.00,5.79,0.66,54.0,97.0
529.10,5.43,0.16,12.0,72.0
530.00,5.78,1.30,12.0,133.0
530.01,6.21,1.00,16.6,100.0
531.01,15.04,1.50,15.3,60.0
534.00,5.31,0.27,24.0,161.0
534.01,7.23,0.95,18.3,150.0
536.00,4.07,-0.22,0.4,101.0
536.01,11.86,1.42,22.5,21.0
536.10,7.84,0.65,15.4,49.0
537.00,5.58,0.44,61.8,63.0
537.00,4.84,0.45,61.8,63.0
538.00,8.76,0.59,47.5,150.0
539.02,9.49,1.21,41.0,90.0
540.00,8.29,0.71,26.6,101.0
541.00,4.91,0.59,41.8,67.0
542.00,4.75,0.06,27.1,127.0
543.00,5.71,0.52,34.9,58.0
543.00,5.71,0.52,34.9,58.0
544.00,9.81,0.97,32.8,68.0
545.00,8.02,0.56,41.9,109.0
547.00,4.11,1.02,32.9,74.0
548.00,10.16,1.36,41.5,49.0
549.00,4.12,0.49,79.6,57.0
550.00,5.21,0.40,29.7,127.0
551.00,8.28,1.07,54.6,150.0
552.00,8.55,0.64,32.1,150.0
552.01,14.10,1.32,12.8,49.0
554.00,3.47,0.09,47.4,49.0
555.00,10.57,1.56,127.3,42.0
556.00,11.92,1.46,51.9,78.0
556.01,11.17,1.38,19.1,150.0
557.00,5.41,0.56,68.6,76.0
557.10,5.18,0.24,26.4,84.0
558.00,4.27,0.31,45.4,86.0
559.00,9.04,1.04,21.4,125.0
